PeriodKey,PeriodDateEnd,Month,Quarter,Year,Category,SubCategory,Country,Segment,Driver_Score,Driver,Brand,Equity_Score,CBI
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,60,Helps to detox,Nordic Naturals Nordic Flora Probiotic Daily,81,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,62,Reduces stress levels,HUM Nutrition Beauty zzZz ,82,54
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,68,Effective/works as advertised,Gaia Herbs Sound Sleep,82,28
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,36,Meets my needs,Hyperbiotics PRO-Women Probiotics,74,37
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,89,Expert/science-backed,Peptiva Clinically Validated Probiotics Sleep Support,81,83
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,75,Good promotions,Nested Naturals Luna,81,49
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,77,Likes the brand's ambassadors,Nested Naturals Luna,82,49
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,75,Meets my needs,Ancient Nutrition SBO Probiotics Men’s,80,63
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,70,Effective/works as advertised,Culturelle Daily Probiotic ,80,62
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,79,Helps to detox,Hyperbiotics PRO-Women Probiotics,74,37
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,77,Helps boost sleep hormones,Innovixlabs Multi-Strain Probiotics,81,45
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,58,Brand is trustworthy,Solaray Men’s Formula,79,81
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,70,Effective/works as advertised,Garden of Life Dr Formulated Probiotics Once Daily Men's,79,87
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,80,Great reviews and recommendations,Garden of Life Dr Formulated Probiotics Once Daily Men's,79,87
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,84,Improves stamina,Garden of Life Dr Formulated Probiotics Once Daily Men's,79,87
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,76,Expert/science-backed,Jarrow Formulas Fem-Dophilus,72,45
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,85,Great value-for-money,Biotiquest Simple Slumber Probiotics,80,76
